GANACAN CACHORRO BOLSA ;15;379.08;538.00; Vitalcan ; Alimentos ; Caninos ; GRUPO PILAR S.A. 
KEN-L RATION GATOS LIGHT ;3;223.64;311.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
KEN-L RATION GATOS LIGHT ;7.5;515.91;699.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP CACHORRO RZ SMALL ;1;92.06;134.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP CACHORRO RZ SMALL ;3;237.93;329.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP CACHORRO RZ SMALL  CRIADORES;25;1581.68;2107.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP CACHORRO RZ MEDIANA ;3;194.86;292.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP CACHORRO RZ MEDIANA ;5;457.44;639.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP CACHORRO RZ MEDIANA ;15;764.55;1026.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP CACHORRO RZ MEDIANA  CRIADORES;25;1183.48;1632.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP CACHORRO RZ GRANDE ;3;193.48;292.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP CACHORRO RZ GRANDE ;7.5;455.2;639.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP CACHORRO RZ GRANDE ;15;785.37;1028.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP CACHORRO RZ GRANDE  CRIADORES;25;1216.03;1678.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP ADULTO RZ SMALL ;1;89.2;123.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP ADULTO RZ SMALL  ;3;221.1;303.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP ADULTO RZ SMALL  ;7.5;524.14;703.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP ADULTO RZ SMALL  CRIADORES;25;1437.82;1973.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP ADULTO RZ MEDIANA ;3;184.11;268.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP ADULTO RZ MEDIANA  ;7.5;444.85;606.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP ADULTO RZ MEDIANA ;15;707.98;972.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP ADULTO RZ MEDIANA  CRIADORES;25;1054.34;1456.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP ADULTO RZ GRANDE ;3;187.94;267.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP ADULTO RZ GRANDE ;7.5;448.63;605.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP ADULTO RZ GRANDE ;15;729.17;971.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP ADULTO RZ GRANDE  CRIADORES;25;1131.89;1542.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP PERRO SENIOR ;3;213.52;294.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP PERRO SENIOR ;7.5;453.59;616.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP NUT GATITO ;0.4;60.58;92.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP NUT GATITO ;2;238.21;326.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP NUT GATO AD ;0.4;56.73;88.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP NUT GATO AD;2;223.94;317.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP NUT GATO AD ;7.5;659.35;969.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP NUT GATO SENIOR ;0.4;56.73;88.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
TOP NUT GATO SENIOR ;2;223.94;317.00; Vitalcan ; Alimentos ; Felinos ; GRUPO PILAR S.A. 
9 LIVE SUPER COMIDA  ;0.5;32.11;54.00; 9 LIVE ; Alimentos ; Caninos ; GRUPO PILAR S.A. 
9 LIVE SUPER COMIDA  ;1;59.07;96.00; 9 LIVE ; Alimentos ; Caninos ; GRUPO PILAR S.A. 
9 LIVE SUPER COMIDA ;8;349.07;574.00; 9 LIVE ; Alimentos ; Caninos ; GRUPO PILAR S.A. 
